"Education","South","Sex","Experience","Wage","Age","Race","Occupation","Sector","Marr","Union","Children"
8,"N","F",21,5.1,35,"H","Other","Manufacturing","Married","N",5
9,"N","F",42,4.95,57,"W","Other","Manufacturing","Married","N",5
12,"N","M",1,6.67,19,"W","Other","Manufacturing","Single","N",NA
12,"N","M",4,4,22,"W","Other","Other","Single","N",NA
12,"N","M",17,7.5,35,"W","Other","Other","Married","N",5
13,"N","M",9,13.07,28,"W","Other","Other","Single","Y",NA
10,"Y","M",27,4.45,43,"W","Other","Other","Single","N",NA
12,"NULL","M",9,19.47,27,NA,"Other","Other","Single","N",NA
16,"N","M",11,13.28,33,"W","Other","Manufacturing","Married","N",5
12,"N","M",9,8.75,27,"W","Other","Other","Single","N",NA
12,"N","M",17,11.35,35,"W","Other","Other","Married","Y",5
12,"N","M",19,11.5,37,"W","Other","Manufacturing","Single","Y",NA
8,"Y","M",999,6.5,41,"W","Other","Other","Married","N",5
9,"Y","M",999,6.25,45,"W","Other","Other","Single","Y",NA
9,"Y","M",29,19.98,44,"W","Other","Other","Married","N",5
12,"N","M",37,7.3,55,"W","Other","Construction","Married","N",5
7,"Y","M",44,8,57,"W","Other","Other","Married","N",5
12,"N","M",26,22.2,44,"W","Other","Manufacturing","Married","Y",5
11,"N","M",16,3.65,33,"W","Other","Other","Single","N",NA
12,"N","M",33,20.55,51,"W","Other","Other","Married","N",5
12,"N","F",16,5.71,34,"W","Other","Manufacturing","Married","Y",5
7,"N","M",42,7,55,"O","Other","Manufacturing","Married","Y",5
12,"N","M",9,3.75,27,"W","Other","Other","Single","N",NA
11,"Y","M",14,4.5,31,"O","Other","Other","Married","N",5
12,"N","M",23,9.56,41,"W","Other","Other","Married","N",5
6,"Y","M",45,5.75,57,"W","Other","Manufacturing","Married","N",5
12,"N","M",8,9.36,26,"W","Other","Manufacturing","Married","N",5
10,"N","M",30,6.5,46,"W","Other","Other","Married","N",5
12,"N","F",8,3.35,26,"W","Other","Manufacturing","Married","N",5
12,"N","M",8,4.75,26,"W","Other","Other","Married","N",5
14,"N","M",13,8.9,33,"W","Other","Other","Single","N",NA
12,"NULL","F",999,4,64,NA,"Other","Other","Single","N",NA
NA,"N","M",999,4.7,33,"W","Other","Other","Married","N",5
17,"Y","F",1,5,24,"W","Other","Other","Single","N",NA
12,"N","M",19,9.25,37,"W","Other","Manufacturing","Single","N",NA
12,"N","M",36,10.67,54,"O","Other","Other","Single","N",NA
12,"Y","M",20,7.61,38,"O","Other","Construction","Married","N",5
12,"N","M",35,10,53,"O","Other","Construction","Married","Y",5
12,"N","M",999,7.5,21,"W","Other","Other","Single","N",NA
14,"NULL","M",10,12.2,30,NA,"Other","Manufacturing","Married","N",5
12,"N","M",0,3.35,18,"W","Other","Other","Single","N",NA
14,"Y","M",14,11,34,"W","Other","Manufacturing","Married","Y",5
12,"NULL","M",14,12,32,NA,"Other","Manufacturing","Married","N",5
9,"N","F",999,4.85,31,"W","Other","Manufacturing","Married","N",5
13,"Y","M",8,4.3,27,"W","Other","Construction","Single","N",NA
7,"Y","F",15,6,28,"W","Other","Manufacturing","Married","N",5
16,"N","M",12,15,34,"W","Other","Manufacturing","Married","N",5
10,"Y","M",13,4.85,29,"W","Other","Other","Single","N",NA
8,"N","M",33,9,47,"W","Other","Other","Married","Y",5
12,"N","M",9,6.36,27,"W","Other","Manufacturing","Married","N",5
12,"N","M",7,9.15,25,"W","Other","Other","Married","N",5
16,"N","M",13,11,35,"W","Other","Manufacturing","Married","Y",5
12,"N","F",7,4.5,25,"W","Other","Manufacturing","Married","N",5
12,"N","F",16,4.8,34,"W","Other","Manufacturing","Married","N",5
13,"N","M",0,4,19,"W","Other","Other","Single","N",NA
12,"N","F",999,5.5,29,"W","Other","Manufacturing","Single","N",NA
13,"N","M",17,8.4,36,"W","Other","Manufacturing","Single","N",NA
10,"N","M",13,6.75,29,"W","Other","Manufacturing","Married","N",5
12,"N","M",22,10,40,"O","Other","Manufacturing","Single","Y",NA
12,"N","F",28,5,46,"W","Other","Manufacturing","Married","N",5
11,"NULL","M",17,6.5,34,NA,"Other","Other","Single","N",NA
12,"N","M",24,10.75,42,"W","Other","Construction","Married","Y",5
3,"Y","M",55,7,64,"H","Other","Manufacturing","Married","N",5
12,"Y","M",3,11.43,21,"W","Other","Construction","Single","N",NA
12,"N","M",6,4,24,"O","Other","Manufacturing","Single","Y",NA
10,"N","M",999,9,43,"W","Other","Construction","Married","N",5
12,"Y","M",19,13,37,"O","Other","Manufacturing","Married","Y",5
12,"N","M",19,12.22,37,"W","Other","Construction","Married","Y",5
12,"N","F",999,6.28,56,"W","Other","Manufacturing","Married","N",5
10,"Y","M",41,6.75,57,"O","Other","Manufacturing","Married","Y",5
11,"Y","M",3,3.35,20,"O","Other","Manufacturing","Single","N",NA
14,"N","M",20,16,40,"W","Other","Other","Married","Y",5
10,"N","M",15,5.25,31,"W","Other","Other","Married","N",5
